0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
"Chipotle is my absolute favorite ""fast-food"" restaurant",Amazing fresh food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They ran out of some major essentials: brown rice,so there was no reason for the mess on the floor or the lack of ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and believe we will see this type of business model in more types of food,I still go because they make great food,low prices, High quality ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He went out of his way to ask how we were doing and made sure the food tasted great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So now I'll have to make yet another trip there to deal with an embarrassing inconvenience that was the cashier's fault and all for mediocre food,burrito we make,I used to go every Monday after the gym and order a steak bowl,Back then the meat was lean,inedible pieces of meat I have to spit out ,I had to stand around and wait to get the fajita veggies and the giant glob of guacamole was turning a dark,"What happened to Chipotle's moto of ""it all really comes back to the people behind every ingredient we purchase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I normally just get the chicken salad with little beans and rice,medium and hot salsa,and corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After twenty minutes I finally sat down to eat my burrito bowl ,brown rice,and white rice, They were out of steak,Service quality starts with management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their corn is always cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it's Chipotle so the food is great,The meal they were eating was a sackful of burritos from Moes,Chipotle employees eating Moes burritos inside a Chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They filled the bowls we ordered very generously,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I know that everyone has differing opinions on what makes a good burrito,I want my burrito hot,Why does everyone LOVE chipotle so much,these things aren't even rolled correctly - the size of your head with rice on one side (which by the way is really tasty,meat somewhere else,whatever other ingredients you asked for haphazardly falling out here ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While the food is pretty good,Once I got my food I had a line of 20-something,The two stars is for the burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keeping everyone entertained and excited for the food they were about to buy,Long live chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been subjected to some of the best and most authentic Mexican food you can get in the United States," I also love ""Californian Mexican"" food that's a bit less authentic",there was a burrito joint on every corner , The build-your-own style is the best for me because I am vegan and very particular about what goes into my burrito,I ordered the veggie burrito,It was one of the best burritos I have ever had,95 burrito, The guac is free on a veggie burrito,which I got stuffed with cilantro-lime rice,black beans,corn salsa, I was a little bummed that the guacamole costs $1,and lettuce,healthy ingredients,which lists all ingredients ,Chipotle is a taste of home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but the food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every time we buy bowl in any chipotle they not put enough meat on the bowl only rice ,99 to eat rice ,and beans so we pay $7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My chicken burrito was absolutely tasteless, The chicken was dried up ,I also ordered chips ,The chips did not have the lime on them like they should've ,and guacamole,and the guacamole was lacking in the jalapeño,same quality ,Hopefully they will get some quality control ,and turn it around to be the same quality as the rest of the chain,and same taste no matter which ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The meat is not great and you put cilantro in every element of the burrito - the meat has cilantro,but if you wish to have a burrito then I will point you to Moes where they will welcome you with open,the rice,the beans more cilantro,the salsa,I will say that the chips ,and guac are good until you find a way to put cilantro in the chips as well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everything has changed including the freshness of the food to the attitude of the employees,I went here this afternoon to get a burrito bowl,I also asked for a side of guacamole,When I looked at the guacamole,When I asked the employee for fresh guacamole,she informed me that they do not make fresh guacamole ,I get back to my place to eat lunch and the guacamole was completely brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By far my favorite burrito/taco chain, The pricing is straight forward and their burritos are huge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was fine until I ate the food it was the only,food that I consumed all day ,and I believe that the black beans were going bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 food all over the floor, A pile of beans on a chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst food quality ever,It's in a Very busy location which is my guess as to the low quality food,The first time I ordered a chicken burrito,and the chips were disgustingly chewy,the meat was stale,sour cream was milky,The employees are friendly but man the quality sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The server did give me more sour cream than I asked for ,and the ingredients are fresh and they went out of the way to get me fresh salad greens even ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love the fresh peppers but I wish the food could be more hot, I like my food pipping hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We asked for a bag of chips ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great quality food,Additionally the chips always seem stale here,The reasons I didn't give 5 stars: today I ordered/paid for a side of guacamole ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown rice,My favorite is a bowl with black,chicken,beans,with both corn and hot salsas,Their tortillas are unexpectedly soft and just plain delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mine just happens to include spicy food,As for the food,I usually get the Barbacoa burrito bowl,This location is the first time I was OVER served Barbacoa which is saying a lot because I am capable of eating the entire burrito bowl in one sitting,like some crackhead strung out for her salsa fix,Yes all the salsas,It was so fall apart in your mouth delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There food is moist, I always get the crispy tacos(the best,they gave you 4 tacos , The guy told me the tacos are bigger ,and now you only get three and they have raised their prices,and they give more meat(no they aren't ,I'd still go back because it's the best meat you're going to get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long time chipotle fan and absolutely love the food ,I guess chipotle making all the money don't really care about staff or service anymore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and the food is always fresh,I love the cilantro-lime rice,please do yourself a favor and make the switch before you break a tooth on their extremely stale rice,and the simple yet delicious guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Stood to wait for my food while they rushed to make it, Its amazing to complain about being served too much food , Too much rice and all the toppings were what was on my hubby's burrito - NOT what i ordered, His burrito was sloppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rice,I always order salad no beans,hot salsa,double meat,extra lettuce,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
though everytime you need wait in the line for a while，the food is really good！,people working there are very nice and give you so much food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This chipotle is very consistent, I always do wonder why their chips are always unevenly salted ( same,you will find a few chips that have all the salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food does seem a bit inconsistent,Sometimes the service folks may forget to get you a sauce or ingredient,but the taste itself is the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never seen this in a chipotle before), Portion size is small especially considering extra charge for the guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food at this Chipotle is what you would expect from any Chipotle--no surprises there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good thing I don't have food allergies,I came in here and ordered a veggie burrito ,Other times I've found cheese in my burrito because the cheese,and ended up with a few pieces of meat in it because the servers are sloppy, sits right next to the guacamole,The ingredients aren't fresh,I know this because I can taste the huge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I stopped at this chipotle and bit into my burrito, I quietly took my burrito back to the register ,it contained frozen corn salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can never go wrong with chipotle,They always taste great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I always get the bowl with Chicken or Carnitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chipotle is chipotle= solid food for 8 bucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today I dined at chipotle ,He not only added the perfect amount of cheese ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-And pretty good quality food~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am a tex-Mex/Mexican food aficionado-so,But I have been dipping my foot in this pool since last spring/summer after hearing my food friends love it,The only thing I've tried after many check-ins at various locations is the rice bowl,I am sooo sold on the brown lime rice,especially chicken ,(It's sooo hard to part with so many ways to serve chicken,(every other time was steak and chicken once,I hate their chicken),The tofu was sooo flavorful-it tasted like a better version of chicken,###nomoremeatforme,and steak,AND I love a nicely cooked steak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered food using the mobile,app and when I got there 30 minutes later the girls working behind the counter laughed at me while they told me they threw away my food because I was too late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have never had to take my food back to chipotle until today,I opened the container and it looked like rice soup with guacamole on top,I don't know if it's management or what but this location has the most inconsistent service and quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They're also fast and the food is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usually okay but if they are busy they seem to forget that they need to keep making food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they really only make burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The food always seems fresh,it seemed like the people there didn't like their job or weren't interested in making your food, I usually get the same thing (a veggie bowl) ,unless it's meat or guac, and tastes great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I used to get double scoop of white rice with double,layer tortilla but nowadays I get a bowl,and tomato salsa ,Had chips,Meat was juicy and all the other ingredients were fresh,it is still delicious ,It was delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowest chipotle I've ever been to,the Guacamole looked disgusting and they were out of chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and their rice is consistently seasoned well ,and cooked meat,they have never run out of ingredients,your standard Chipotle order can vary from mind-blowingly delicious to bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food,The highest quality food for the cheapest price,Burrito bowls are a Crossfit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This day in age some chain restaurant folks put funky stuff inside of food,The food here is always fresh,burrito,taco,and everything so they end up giving me a mountain of goodies on my rice bowl,I'm always mixing and matching since no matter what rice bowl,During my vegan trial period I would come here to purchase brown rice with black,beans,I do not like mystery horsemeat swirled with r,corn,salad you get it's always on point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't mind the food here,and gave you minimal amounts of food,the food is sub,I know working in the food industry is draining,but it will do in a pinch or when a member of a party just NEEDS his chipotle fix,"The ""humane"" meats they serve here don't taste bad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super clean remodel for this chipotle from the previous,now a chipotle in every neighborhood of the west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food tasted kind of bland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but it hits the spot when you need a quickie burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is not the issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food ,The bowls are great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One was measuring temperature of the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food here is nothing to play around with,Come here when you need to get a monstrous burrito to satisfy your crippling hunger,The guys and gals at the counter are quick and ready to make a slamming burrito,taco,or bowl of the fresh, ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is good,and very accomodating and flexible as far as making my kids' burritos/tacos/etc just the way they want them,one of my kids (spice wimp) ordered a chicken burrito,at least two staff personnel came to check on us to see if the second burrito was more to his liking,Chipotle can feel on the pricey,against my better judgment since I know there is some kick to the chicken,guacamole ,especially for extras like guacamole, quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My main gripe with this location is the noob burrito rollers,I got nervous as I watched my tortilla with filling get molded and unmolded and remolded into a burrito,the workers here still seem like theyre working on it compared to the burrito ninjas at the toco hills location,I was surprised to find out they were opening a chipotle in Emory Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and every single one of the workers tries to skimp on every single ingredient like they were trained to withhold food from us or something,and almost took a picture of the taco-sized burrito they tried to make me ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food: is awesome,I swear they add some secret drug to the salsa that makes me crave a burrito bol,and the cilantro lime rice is the ONLY rice I will eat in a burrito,At lunchtime it seems like the entire population of Sunset Valley wants a burrito,A pilgrim must suffer in order to reach the holy burrito grail,burrito devotees,no rice,black beans,the salsas are fresh,roasted corn salsa,The guacamole is the only,cheese,The sour cream is creamy,sour cream,and lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every time we go we feel like it is a 50/50 chance of our food either being delicious,The ingredients are slapped on and they are sliding our burritos down the line ,This has to be the worst chipotle we go to,We love chipotle, If it weren't so convenient to have this location so close to where we live we would drive to a different chipotle as we have has better experiences ,There have also been a few instances where this location runs out of ingredients by 6pm on a Friday or Saturday,Over the last several months the quality of service has truly diminished,The employees need to take their time to ensure a quality product is presented,Efficiency is important but so is quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had stopped eating at this location prior to all the food safety issues last,when you finally got to order your food -- I go for the bowls -- you'd have to practically beg to get more than half a spoon of rice ,Staffing hint: a goth waif verging on anorexia is probably not the best person to be portioning out the food,"This was most surprising given all the ""free food"" campaigns they've done recently",If I want a burrito,they still managed to always be out/low on some ingredient (rice,The waifish rice-nazi wasn't there,I asked for double chicken in my bowl,and beans,beans,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They are constantly running out of something and very often the food is improperly seasoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chips were good,they should check for the missing ingredient in the steak,A type of ingredient was missing so it wasn't as good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The grilled chicken is crispy and delicious and I especially like the chipotle honey vinaigrette, The salad selection is piled high and for the price a very satisfying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rice was dry,Late this afternoon I grabbed a carnita bowl to go, beans were just old,The meat was far from the usual,bland turkey meat from a can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadly the food is good,AND they forgot to put gucamaloe on my burrito bowl,I walked into Chipotle on my Monday afternoon to pick up a simple chicken bowl for dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you like meat don't go to this location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had a chicken burrito with veggies ,It made my burrito soggy,The chicken was bl,but it tastes like nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While I like the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so they threw the whole plate of food away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was pretty good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One time my bowl was very heavy with a disproportionate amount of rice,bypassing the long line and bringing a healthy fresh buritto bowl back to my desk,and today they forgot the corn salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was good,I've had the food at another location ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The workers at this location are very friendly and you can see them preparing the food in the back,I also like their tacos,Props to them for offering the brown rice option ,Last time they did run out of brown rice ,Now I get a mixture of black and pinto in my bowl,so I keep going back to the bowl,and for making the pinto beans vegetarian also (they took out the pork,I also realized I can ask for the chunky mild tomatoes and add on the medium salsa,And I do wish their lettuce topping wasn't mostly the hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I went in looking for a sofritas burrito,25 for sofritas/meat,because to add meat the menu says ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst chipotle order I ever got,Less meat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delicious Mexican food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chipotle never fails,sometimes ill mix it up and get barbacoa and steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food tasted fresh,I ordered the chicken bowl which was delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have increased the prices while the food has become shitty,If the food was worth,The food is pretty overpriced for the portion ,They need to get better employees along with better food,It's shit food that will give you the shits,It's something like $6 or $7 for a burrito,That has increased while the bowls and burritos have become less impressive,It used to be free guacamole ,and quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown rice ,I always order a bowl with pork or chicken,Can't go wrong there and sometimes depending on my appetite I'm able to make a meal out of the bowl,black beans,all the salsas (hello,I am usually disappointed by the chips,the chips should be salted ,which is a same because when made right they are the best chips in town,Regardless of the chips,and topped off with lettuce,Several times a week my taste buds physically crave this Mexican,Leftovers still taste pretty decent,they are usually stale and tasteless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The young man wrapping up my order gave it to the person after me and gave me her food,This continues to be the worst chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered from Postmates and my chicken was cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was getting the chicken burrito for ages,if you don't want things included in your burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My son and I were eating dinner the other day and he mentioned how he missed San Francisco burritos which we used to probably eat at least once a week,These are far from the best burritos Ive ever had , A burrito from here equals dinner plus a lunch leftover for me,I am bitter that I let my free burrito coupon expire even though I had it hanging on the fridge for weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Their food is yummy,and I will choose it every time I am in the mood for a burrito,there will also be the same deliciously,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff seem to hate their life and the food is bland,Probably because they know their food sucks so they're trying to get rid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have to say that this establishment inside Perimeter Mall's food court is very,I've been here at various times of day and the line moves fast with about 3 or 4 people behind the counter passing your burrito bowl along down the line,The burrito bowl is delicious,They have cold water in to-go cups ready for you to just grab on your way out and the gal at the register has basically memorized prices of basics,Brown rice,chicken,I've learned to skip the salsa ,It's the perfect combination of meat,onions and cheese,and the corn because I only guilt myself into including them ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The quality of food has gone down significantly in past,Since then the food has been cold,There is no consistency in the food preparation ,You may open your burrito bowl to find tons of black, bean juice with a few prices of cold,Another bowl gone straight, burnt chicken scattered around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've eaten here multiple times and not once has the food been good,The management should eat the food once in a while to have an idea as to how bad,Uncooked rice,over burnt vegetables and cold grizzly chicken,No quality control at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito bowls are the way too go,Fresh ingredients ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and while they could do a better job with consistency of the food,Food quality is great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every time i go in there the quality of the food is the same,I'm a fan of the chicken burrito,I would recommend getting the salsa or guacamole ,and chips as well,The chips have a touch of lime ,adding guacamole it will set you back $1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Me: ""Seems like too much food",because I thought I was going to get a burrito the size of my arm,"Me: ""So it's kind of like FreeBirds but you don't have to get the jumbo burrito",2 tacos,Do you think I can get tortillas on the side to build my own tacos,"I headed home with my healthy ""taco kit"" ",and gobbled down 2 tacos ,(4-6 tacos depending on the tortillas) ,a bowl OR a Salad ,light black and pinto beans,toasted chili-corn salsa ,and fresh tomato salsa (aka,and you get to pick the meat ,Me: (feeling all expert now) ordered a salad with 1/2 steak ,cheese ,sour cream ,and lettuce,and 2 corn tortillas,"Nice Older Gentleman: ""My co-worker gets the salad so she can save the rest for leftovers",and other ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Had a burrito bowl ,The rice had crunchy pieces in it so I'm sure,The chicken was luke,The lettuce looked wilted so I passed, The portions and quality at this location are just too small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
however since I brought a burrito bowl back to the office one day, The burrito bowls are an awesome, The bowl works better if you don't want to make a mess of your dress shirts, My only issue is what meat selection works the best here,with last week starting around the corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
their chicken burritos are filling ,Don't get me wrong I like chipotle,The mild salsa didn't taste quite right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Then the food stopped tasting good,My bf went there and they ran out of white rice,They ran out of white rice,They offered us brown rice instead or we can wait 20 minutes ,So we decided to wait since brown rice just doesn't taste the same,"Their reply was ""Sorry - we forgot to turn on the rice cooker",And now they ran out of rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but now the ingredients have become super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I always ask for more rice , On several occasions the rice has been undercooked, and too many pieces of chicken have been overally chewy,and meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the worst chipotle me ,Do not go to this chipotle they have horrible,I'm going to stop eating chipotle  all together as a whole,She threw the bowls around ,and didn't respond when we asked to just wait for the fresh steak instead of scraping the bottom of the combine,After waiting she gave us half portions of steak just because she could,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This location is never consistent with the food they serve,They give such little portions I often wonder are the employees being charged for my burrito,If you like chipotle just avoid this locatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inconsistent food portions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They used to have good food,They have crappy corn tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't believe it's specifically listed on the menu (except in kids meals) but you can order 1 single taco vs,the 3 they give you in the regular taco menu item,I think I fell asleep at my desk after the first time I went & got the 3 taco meal,I learned my lesson & now I always get a single steak taco with a side of chips & salsa,The chips are off the hook,the home of $11 salads ,The ingredients are the freshest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This chipotle is the worst one that I've been to in awhile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered my Chipotle burrito with medium salsa,and the prices seemed reasonable,The chicken ,and steak were nicely flavored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But when I used the app and very detailed told them what I wanted and it said my food would be ready,Then when she handed me the bag of food ,Other than that the food is great,my salsa that came with my chips and my side of rice,I politely asked her can I have my chips ,and the kids meal chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was cold ,This chipotle IS A MESS,and they had no guac cheese or corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice & beans w/meat burrito for too much, Why don't they have the salsa bar, Others in the area have this place beat hands down for taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
